domain;name;ticker;involvement.Alcoholic Beverages;involvement.Adult Entertainment;involvement.Gambling;involvement.Tobacco Products;involvement.Animal Testing;involvement.Fur and Specialty Leather;involvement.Controversial Weapons;involvement.Small Arms;involvement.Catholic Values;involvement.GMO;involvement.Military Contracting;involvement.Pesticides;involvement.Thermal Coal;involvement.Palm Oil;employees;industry;sector;altman_score;piotroski_score;Controversies.Environment;Controversies.Social;Controversies.Customers;Controversies.Human Rights & Community;Controversies.Labor Rights & Supply Chain;Controversies.Governance;Decarbonization Target.Target Year;Decarbonization Target.Comprehensiveness;Decarbonization Target.Ambition p.a.;Decarbonization Target.Decarbonization Target;Decarbonization Target.Decarbonization Target on Temperature Rise;Temperature Goal;sdg.No Poverty;sdg.No Hunger;sdg.Good Health and Well-Being;sdg.Quality Education;sdg.Gender Equality;sdg.Clean Water and Sanitation;sdg.Affordable and Clean Energy;sdg.Decent Work and Economic Growth;sdg.Industry, Innovation and Infrastructure;sdg.Reduced Inequalities;sdg.Sustainable Cities and Communities;sdg.Responsible Consumption and Production;sdg.Climate Action;sdg.Life under Water;sdg.Life on Land;sdg.Peace, Justice and Strong Institutions;sdg.Partnerships for the Goals;esg;involvement_msci.Controversial Weapons;involvement_msci.Gambling;involvement_msci.Tobacco Products;involvement_msci.Alcoholic Beverages;Controversies.Supply Chain Labor Standards;Controversies;Decarbonization Target;sdg;Controversies.Collective Bargaining & Union;Controversies.Health & Safety;Controversies.Discrimination & Workforce Diversity;Controversies.Labor Management Relations;involvement;involvement_msci;Controversies.Anticompetitive Practices;Controversies.Privacy & Data Security;Controversies.Bribery & Fraud;Controversies.Governance Structures;Controversies.Customer Relations;Controversies.Product Safety & Quality;Controversies.Human Rights Concerns;Controversies.Energy & Climate Change;Controversies.Toxic Emissions & Waste;Controversies.Impact on Local Communities;Controversies.Biodiversity & Land Use;Controversies.Other;Controversies.Marketing & Advertising;Controversies.Civil Liberties;Controversies.Operational Waste (Non-Hazardous);Controversies.Supply Chain Management;Controversies.Water Stress;Controversies.Child Labor;Controversies.Controversial Investments
renovosoftware.com;Renovo;RNXT;;;;;;;;;;;;;;;8;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ubbermaid.com;Rubbermaid;NWL;;;;;;;;;;;;;;;24600;;;0.55;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
sipx.com;sipx;SIPX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bankofcanada.ca;Bank of Canada;RY;;;;;;;;;;;;;;;91427;;;null;4;Green;Orange;Yellow;Green;Orange;Orange;2025;100.0%;-33.32%;Yes;Yes;1.7;No;No;No;No;Aligned;No;Aligned;No;Aligned;No;No;No;Aligned;No;No;No;No;;No;No;No;No;;;;;;;;Orange;null;;;;Orange;;;;;;;;;;Yellow;;;;;;
rfintelligence.com;RFi;RFI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
stlouisfed.org;Fred;FRED;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
carlisle-co.com;Carlisle & Co.;CSL;;;;;;;;;;;;;;;11000;;;5.87;9;Green;Green;Green;Green;Green;Green;2030;14.82%;0.1%;Yes;Yes;1.6;Aligned;No;Aligned;No;Aligned;No;No;No;No;No;No;Aligned;No;No;No;No;No;21.2;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
aarp.org;AARP;AARP;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
accaglobal.com;ACCA;ACCA;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ceg-global.com;CEG;CEG;;;;;;;;;;;;;;;13871;;;1.66;5;Green;Green;Green;Green;Green;Green;;;;;;1.6;No;No;No;No;No;No;No;Aligned;No;Aligned;No;No;No;No;No;Aligned;No;29.7;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
fiserv.com;Fiserv;FI;;;;;;;;;;;;;;;42000;;;1.56;6;Green;Green;Green;Green;Green;Green;;;;;;1.6;No;No;No;No;Aligned;No;No;Aligned;No;Aligned;No;No;No;No;No;No;No;;No;Yes;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
sae.org;SAE;SAE;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;;;;;;1.5;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;24;No;No;Yes;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
sodexo.com;Sodexo;EXHO;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
t-mobile.com;T Mobile;TMUS;;;;;;;;;;;;;;;67000;;;1.47;8;Green;Orange;Orange;Green;Green;Green;2040;100.0%;-5.56%;Yes;Yes;1.4;No;No;No;No;Aligned;No;No;Aligned;No;Aligned;No;No;No;No;No;No;No;24.7;No;No;No;No;;;;;;;;;null;;;Orange;;;;;;;;;;;;;;;;;
wst.iwaponline.com;Waters;WAT;;;;;;;;;;;;;;;7900;;;7.49;5;Green;Green;Green;Green;Green;Green;2025;\n2.96%;0.43%;Yes;Yes;2.5;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;No;No;No;14.6;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
envistacorp.com;enVista;NVST;;;;;;;;;;;;;;;12800;;;1.55;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;28.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
idom.com;Idom;7599;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;17.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
zerofox.com;ZeroFox;ZFOX;;;;;;;;;;;;;;;914;;;-5.1;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
translations.com;Translations;STG;;;;;;;;;;;;;;;2318;;;0.93;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;31.2;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
visual.ly;Visual;VISJ;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
stellar.net;Stellar;XLM/USD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
tecglobalinc.com;Tec Global Inc.;GPTX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
geometricglobal.com;Geometric;VALUG;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
p5.be;P5;US500;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
primaris.eu;Primaris;PMZ_u;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
cocc.com;COCC;0P0000YK36;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
pscu.com;PSCU;PSCU;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
wib.org;WIB;WIB;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
foundersfund.com;Founders Fund;CFSMX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
otalliance.org;OTA;9658;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;36.1;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
unear.net;Grupo;TV;;;;;;;;;;;;;;;37374;;;1.21;6;Green;Green;Green;Green;Green;Yellow;;;;;;4;No;No;No;No;No;No;No;Aligned;Aligned;Aligned;No;Aligned;No;No;No;No;No;;No;No;No;No;;;null;;;;;;null;;;;Yellow;;;;;;;;;;;;;;;;
micros.com;micros;MSFT;;;;;;;;;;;;;;;221000;;;9.38;6;Green;Yellow;Yellow;Green;Yellow;Yellow;2045;100.0%;-3.79%;Yes;Yes;1.4;No;No;No;No;Aligned;No;No;No;No;No;No;Aligned;No;No;No;No;No;15.4;No;No;No;No;Yellow;;;;Yellow;Yellow;Yellow;;null;;Yellow;Yellow;Yellow;Yellow;;;;;;;;;;;;;;;
ebix.com;ADAM;ADAM;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
naseej.com;Naseej;9538;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
anlocjsc.vn;An LOc JSC;BWA;;;;;;;;;;;;;;;39900;;;2.54;8;Green;Green;Green;Green;Green;Green;2035;99.96%;-2.35%;Yes;Yes;2.4;No;No;No;No;Aligned;No;No;Aligned;No;No;No;Aligned;No;No;No;No;No;11.4;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
atc.gr;ATC;ATC;;;;;;;;;;;;;;;10200;;;0.83;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;13.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
atquest.com;At Quest;0P0001ESYE;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
axes.pro;AXES;AXES;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
betacom.com.pl;Betacom;BCMP;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bluewaterlearning.com;Bluewater;0P000070RT;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bsitecnologia.com.br;BSI;BSI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
consist.com.mx;Consist;0P0000U8UD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
genom.com.tr;Genom;BNGO;;;;;;;;;;;;;;;344;;;-6.6;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
gexeed.co.jp;Gexeed;3719;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
gpstrategies.com;GP Strategies;GPAIX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ig.cl;IG;IG;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2050;100.0%;-3.57%;Yes;Yes;2.6;No;No;No;No;Aligned;No;Aligned;Aligned;Aligned;No;No;No;Aligned;No;No;Aligned;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
lrn.com;LRN;LRN;;;;;;;;;;;;;;;7800;;;4.64;8;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;15.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
kenna.ca;Kenna;KMT;;;;;;;;;;;;;;;8739;;;2.88;7;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;19.1;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
mclabs.com;MicroTek;2305;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;20.1;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
nrgglobal.com;NRG;NRG;;;;;;;;;;;;;;;18131;;;1.63;3;Green;Yellow;Green;Yellow;Green;Green;2050;81.44%;-2.7%;Yes;Yes;null;No;No;No;No;Aligned;No;Aligned;No;Aligned;Aligned;No;Aligned;Aligned;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;Yellow;;;;;;;;;
pantheratech.com;Panthera;PATP;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ppsco.com;PPS;PPS;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
gitlab.com;Gitlab;GTLB;;;;;;;;;;;;;;;2130;;;6.37;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;21.1;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
shado.tv;SHADO;SHDW/BTC;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
springworks.se;Springworks;SWTX;;;;;;;;;;;;;;;227;;;18.33;1;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;32;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
vertisinfotech.com;Vertis;VERTb;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
piano.io;piano;2678;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
optiv.com;Optiv;OPT;;;;;;;;;;;;;;;24;;;-6.25;1;Green;Green;Green;Green;Green;Green;2030;16.72%;0.39%;Yes;Yes;2.7;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;25.2;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
fluentco.com;Fluent;FLNT;;;;;;;;;;;;;;;274;;;-3.22;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
fadv.com;First Advantage;FA;;;;;;;;;;;;;;;5000;;;2.77;7;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
fidelity.com;Fidelity;FIS;;;;;;;;;;;;;;;60000;;;-0.22;6;Green;Green;Green;Green;Green;Green;2025;\n3.87%;-0.32%;Yes;Yes;1.7;No;No;No;No;Aligned;No;No;Aligned;No;No;No;No;No;No;No;No;No;16.1;No;Yes;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
opensesame.com;OpenSesame;OPENp;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
selectinternational.com;Select International;DINT;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ceb.shl.com;Shl;SHL;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2030;83.56%;-8.39%;Yes;Yes;null;Aligned;No;Aligned;No;Aligned;No;Aligned;Aligned;No;Aligned;No;No;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
zillow.com;zillow;Z;;;;;;;;;;;;;;;6263;;;3.02;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
yelp.com;Yelp;YELP;;;;;;;;;;;;;;;4713;;;6.98;9;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;22.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
commsolutions.com;Comm Solutions;AACS;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
rubixconsulting.com.au;Rubix;RB6;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
dmpg.co.uk;DMPG;DMPG;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
unic.com;Unic;UNIC;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2050;100.0%;-3.57%;Yes;Yes;1.7;Aligned;No;Aligned;No;No;Strongly Aligned;No;Aligned;No;Aligned;No;No;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
amplitude.com;Amplitude;AMPL;;;;;;;;;;;;;;;675;;;4.67;6;Green;Green;Green;Green;Green;Green;;;;;;2.3;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;No;No;No;20.9;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
indicative.com;Indicative;TWAV1;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
catalinamarketing.com;Catalina;CTN;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
inventage.com;Inventage;389470;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
generaldynamics.com;General Dynamics;GD;;;;;;;;;;;;;;;111600;;;3.6;7;Green;Green;Green;Green;Green;Green;;;;;;null;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
technicacorp.com;Technica;UTI;;;;;;;;;;;;;;;3000;;;2.08;6;Green;Green;Green;Green;Green;Green;;;;;;2.7;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;18.4;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
gtr.net;Global Tech & Resources;GTAC;;;;;;;;;;;;;;;4;;;null;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
nexgenconsultants.com;NexGen;BLCN;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
parx.com;PARX;MLPRXP;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
eventbrite.com;EventBrite;EB;;;;;;;;;;;;;;;866;;;-0.03;5;Green;Yellow;Yellow;Green;Green;Green;2035;\n4.09%;0.81%;Yes;Yes;3.8;No;No;No;No;Aligned;No;No;Aligned;No;No;No;No;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;Yellow;Yellow;;;Yellow;;;;;;;;;;;;;;
brcglobalstandards.com;BRC;BRC;;;;;;;;;;;;;;;5600;;;7.48;7;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;6.4;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ifs-certification.com;IFS;IFS;;;;;;;;;;;;;;;8087;;;null;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;29.1;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
primusgfs.com;Primus;PREP;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
aibonline.org;AIB;AIB;;;;;;;;;;;;;;;2;;;null;3;Green;Yellow;Yellow;Green;Green;Green;2040;100.0%;-5.56%;Yes;Yes;1.3;No;No;No;No;Aligned;No;Aligned;Aligned;Aligned;Aligned;No;No;Aligned;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;Yellow;;;;;;;;;;;;;;
bureauveritas.com;Bureau Veritas;BVI;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2030;100.0%;-4.34%;Yes;Yes;1.6;No;No;No;No;Aligned;No;No;Aligned;No;Aligned;No;No;No;No;No;Aligned;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
mts-global.com;MTS;MTS;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
qmi.com;QMI;QMI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
validusservices.com;Validus;CALD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
sgs.com;SGS;SGS;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Yellow;2050;100.0%;-3.57%;Yes;Yes;1.4;No;No;No;No;Aligned;No;No;Aligned;No;No;No;Aligned;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;Yellow;;;;;;;;;;;;;;;;
ul.com;UL;UL;;;;;;;;;;;;;;;128000;;;null;7;Green;Yellow;Yellow;Green;Green;Green;2032;92.42%;-0.74%;Yes;Yes;3.5;No;No;No;No;No;Aligned;No;Aligned;No;Aligned;No;No;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;Yellow;;;;;;;;;;;;;;;;;;
usda.gov;USDA;USD/AUD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
businessdecision.us;Business & Decision - North America;IBM;;;;;;;;;;;;;;;282200;;;3.08;5;Green;Orange;Green;Green;Orange;Green;2030;100.0%;-12.5%;Yes;Yes;1.6;No;No;No;No;No;No;No;No;No;No;No;Aligned;Aligned;No;No;No;No;14.1;No;No;No;No;;;;;;;Orange;Yellow;null;;;;;;;;;;;;;;;;;;;;
fum.de;Fritz & Macziol Group;FRFR;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bgcmarketdata.com;BGC;BGC;;;;;;;;;;;;;;;3895;;;null;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;19.8;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
dowjones.com;Dow Jones;DJI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ftserussell.com;FTSE;UK100;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
msci.com;MSCI;EEM;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
russell.com;Russell Investments;RIIN;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
zacks.com;Zacks;CZA;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
fpx.com;FPX;FPX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
strategicgrowthinc.com;Strategic Growth;GSTIX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
cicplus.com;CIC Plus;0P0000UBNU;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
aria.com;Aria;ARIA;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
kaba.com;Kaba;DOKA;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;19.3;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
